CommitHash,CommitMsg,CommitDate,CommitFileModifications,ModifiesJavaFile?
0db92492ee93ee939995e4d47f6af60042deefc4,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/SettingsActivity.java,ADD
d550673b0d204cdfae63c56c47da123d27b78970,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
3449f3f663c1d5896ec894d827ebb41081030f72,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
13ce1398428ab65a1f0c6a0f2450255d0408a311,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
13ce1398428ab65a1f0c6a0f2450255d0408a311,Federico Iosue,Federico Iosue,res/xml/settings.xml,MODIFY
13ce1398428ab65a1f0c6a0f2450255d0408a311,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/SettingsActivity.java,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/drawable/bitbucket.png,ADD
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/drawable/github.gif,ADD
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/drawable/googleplus.png,ADD
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/layout/activity_about.xml,ADD
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,res/values/styles.xml,MODIFY
d1d440776ed9ac892d9a84df6a45321757f70e3e,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/AboutActivity.java,ADD
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,res/xml/settings.xml,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/AboutActivity.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailFragment.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListActivity.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/SettingsActivity.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/Note.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/Constants.java,MODIFY
2115f2322330eb942666e79e83ce7030d1e2d712,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
205ede5ae2ef21ffacbdce2425fa794ffd8aa0d7,Federico Iosue,Federico Iosue,res/values-sw600dp/refs.xml,DELETE
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/Note.java,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,MODIFY
7430f722a281cc162dd16a68704688f752a01897,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,res/drawable/github.gif,DELETE
