Class,LazyClass,ComplexClass,LongParameterList,FeatureEnvy,LongMethod,BlobClass,MessageChain,RefusedBequest,SpaghettiCode,SpeculativeGenerality,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,Both,OO,OA
org.sufficientlysecure.keychain.pgp.OpenPgpSignatureResultBuilder,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
org.sufficientlysecure.keychain.pgp.PassphraseCacheInterface,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.sufficientlysecure.keychain.pgp.PgpCertifyOperation,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
org.sufficientlysecure.keychain.pgp.PgpConstants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
org.sufficientlysecure.keychain.pgp.PgpDecryptVerify,0,1,5,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,1
org.sufficientlysecure.keychain.pgp.PgpDecryptVerifyInputParcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.PgpHelper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.PgpKeyOperation,0,1,12,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,5,2
org.sufficientlysecure.keychain.pgp.PgpSignEncryptInputParcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.PgpSignEncryptOperation,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1
org.sufficientlysecure.keychain.pgp.Progressable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.sufficientlysecure.keychain.pgp.SignEncryptParcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.pgp.UncachedKeyRing,0,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,8,5,3
org.sufficientlysecure.keychain.pgp.UncachedPublicKey,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
org.sufficientlysecure.keychain.pgp.UncachedSecretKey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.sufficientlysecure.keychain.pgp.WrappedSignature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
org.sufficientlysecure.keychain.pgp.WrappedUserAttribute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
org.sufficientlysecure.keychain.provider.CachedPublicKeyRing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2
org.sufficientlysecure.keychain.provider.KeychainContract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
org.sufficientlysecure.keychain.provider.KeychainDatabase,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,1,4
org.sufficientlysecure.keychain.provider.KeychainProvider,0,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,9,5,4
org.sufficientlysecure.keychain.provider.ProviderHelper,0,1,4,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,6,2
org.sufficientlysecure.keychain.provider.TemporaryStorageProvider,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,2,4
org.sufficientlysecure.keychain.remote.AccountSettings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.remote.AppSettings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.remote.CryptoInputParcelCacheService,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,2,3
org.sufficientlysecure.keychain.remote.OpenPgpService,0,1,3,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,6,2
org.sufficientlysecure.keychain.remote.RemoteService,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,2
org.sufficientlysecure.keychain.remote.ui.AccountSettingsActivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2
org.sufficientlysecure.keychain.remote.ui.AccountSettingsFragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
org.sufficientlysecure.keychain.remote.ui.AccountsListFragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,0,4
org.sufficientlysecure.keychain.remote.ui.AppSettingsActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.remote.ui.AppSettingsAllowedKeysListFragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,0,4
org.sufficientlysecure.keychain.remote.ui.AppSettingsHeaderFragment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.remote.ui.AppsListFragment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,1,4
org.sufficientlysecure.keychain.remote.ui.RemoteServiceActivity,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1
org.sufficientlysecure.keychain.remote.ui.SelectAllowedKeysActivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1
org.sufficientlysecure.keychain.remote.ui.SelectSignKeyIdActivity,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1
org.sufficientlysecure.keychain.remote.ui.SelectSignKeyIdListFragment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3
org.sufficientlysecure.keychain.service.CertifyActionsParcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
org.sufficientlysecure.keychain.service.ContactSyncAdapterService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2
org.sufficientlysecure.keychain.service.DummyAccountService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2
org.sufficientlysecure.keychain.service.input.CryptoInputParcel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
org.sufficientlysecure.keychain.service.input.RequiredInputParcel,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2
org.sufficientlysecure.keychain.service.KeychainNewService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,3
org.sufficientlysecure.keychain.service.KeychainService,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,8,2,6
org.sufficientlysecure.keychain.service.PassphraseCacheService,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,10,6,4
