CommitId;RefactoringType;RefactoringDetail
6a64dd276372a04cd5d0bf2397da5f1c911117ae;Rename Method;Rename Method	public nextReminderFromRecurrenceRule() : void renamed to public nextReminderFromRecurrenceRule_3days() : void in class it.feio.android.omninotes.utils.date.RecurrenceHelperTest
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected audioRecordings : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected sketches : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected files : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected words : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Pull Up Attribute;Pull Up Attribute	protected chars : int from class it.feio.android.omninotes.models.Stats to class it.feio.android.omninotes.models.StatsSingleNote
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Move Method;Move Method	public getWords(note Note) : int from class it.feio.android.omninotes.db.DbHelper to public getWords(note Note) : int from class it.feio.android.omninotes.helpers.NotesHelper
39b8c34a087d70a5240ce970c1d3b87908c83a5f;Move Method;Move Method	public getChars(note Note) : int from class it.feio.android.omninotes.db.DbHelper to public getChars(note Note) : int from class it.feio.android.omninotes.helpers.NotesHelper
6c78b560c99769a383d51c39caf401ceaa424e77;Extract And Move Method;Extract And Move Method	public startGetContentAction() : void extracted from public onClick(v View) : void in class it.feio.android.omninotes.DetailFragment.AttachmentOnClickListener & moved to class it.feio.android.omninotes.DetailFragment
e76b5fd87c8ff097ca01e4871aad1772bebc4d05;Extract Method;Extract Method	private getCompatiblePackages(ctx Context, intent Intent) : List<ResolveInfo> extracted from public isAvailable(ctx Context, intent Intent, features String[]) : boolean in class it.feio.android.omninotes.utils.IntentChecker
8b8ee4234f9d3c36317826e932e3008a70681dc3;Extract And Move Method;Extract And Move Method	public startGetContentAction() : void extracted from public onClick(v View) : void in class it.feio.android.omninotes.DetailFragment.AttachmentOnClickListener & moved to class it.feio.android.omninotes.DetailFragment
a30b5bb034bb176a12f7925437279a3c81db5f57;Rename Method;Rename Method	public testGetRequestCode() : void renamed to public shouldGetRequestCode() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
a30b5bb034bb176a12f7925437279a3c81db5f57;Rename Method;Rename Method	public testAddReminder() : void renamed to public shouldAddReminder() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
a30b5bb034bb176a12f7925437279a3c81db5f57;Rename Method;Rename Method	public testRemoveReminder() : void renamed to public shouldRemoveReminder() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
a30b5bb034bb176a12f7925437279a3c81db5f57;Extract Method;Extract Method	public isFuture(timestamp long) : boolean extracted from public isFuture(timestamp String) : boolean in class it.feio.android.omninotes.utils.date.DateUtils
4b373a439bae584c4f737317c553e3aa0d82d69e;Rename Method;Rename Method	public ShouldNotAddReminderWithPassedTime() : void renamed to public shouldNotAddReminderWithPassedTime() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
48a1798a29ca39c7b72d841edf4a479bfb42e813;Rename Method;Rename Method	public testGetRequestCode() : void renamed to public shouldGetRequestCode() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
48a1798a29ca39c7b72d841edf4a479bfb42e813;Rename Method;Rename Method	public testAddReminder() : void renamed to public shouldAddReminder() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
48a1798a29ca39c7b72d841edf4a479bfb42e813;Rename Method;Rename Method	public testRemoveReminder() : void renamed to public shouldRemoveReminder() : void in class it.feio.android.omninotes.utils.ReminderHelperTest
48a1798a29ca39c7b72d841edf4a479bfb42e813;Extract Method;Extract Method	public isFuture(timestamp long) : boolean extracted from public isFuture(timestamp String) : boolean in class it.feio.android.omninotes.utils.date.DateUtils
880245275363c98e5fd43975fad5eaeaea35db5a;Rename Method;Rename Method	public onStartCommand(intent Intent, flags int, startId int) : int renamed to protected onHandleIntent(intent Intent) : void in class it.feio.android.omninotes.async.AlarmRestoreOnRebootService
564eff0edc3e22cb01d76f8a3e5d4273251c9de9;Move Attribute;Move Attribute	package PREF_LANG : String from class it.feio.android.omninotes.OmniNotes to class it.feio.android.omninotes.utils.ConstantsBase
564eff0edc3e22cb01d76f8a3e5d4273251c9de9;Move Attribute;Move Attribute	package PREF_LANG : String from class it.feio.android.omninotes.OmniNotes to class it.feio.android.omninotes.utils.ConstantsBase
564eff0edc3e22cb01d76f8a3e5d4273251c9de9;Move Attribute;Move Attribute	package PREF_LANG : String from class it.feio.android.omninotes.OmniNotes to class it.feio.android.omninotes.utils.ConstantsBase
564eff0edc3e22cb01d76f8a3e5d4273251c9de9;Move Method;Move Method	public updateLanguage(ctx Context, lang String) : void from class it.feio.android.omninotes.OmniNotes to public updateLanguage(ctx Context, lang String) : void from class it.feio.android.omninotes.helpers.LanguageHelper
564eff0edc3e22cb01d76f8a3e5d4273251c9de9;Move Method;Move Method	private getLocale(lang String) : Locale from class it.feio.android.omninotes.OmniNotes to public getLocale(lang String) : Locale from class it.feio.android.omninotes.helpers.LanguageHelper
b598f0fbde82892c1baee2d3b0540c8a3f2eb01d;Rename Method;Rename Method	private addAnotherNoteAfterAutobackupActivation() : void renamed to private createNote(title String, content String) : void in class it.feio.android.omninotes.AutoBackupTest
9f4f1fb2f924daf94a178ab11ccb18ddaa9ee09d;Extract Method;Extract Method	public getImportNote(file File) : Note extracted from public importNote(file File) : Note in class it.feio.android.omninotes.helpers.BackupHelper
