CommitId;RefactoringType;RefactoringDetail
9a2f048e1a3bff88885f50dc09aad0c462c460e5;Move Source Folder;Move Source Folder	app/src/main to app/src/play
6d077cfab07e4ad389630ffafda7e13a7a763248;Inline Method;Inline Method	private fullSync(account Account extras Bundle authority String provider ContentProviderClient syncResult SyncResult settings SharedPreferences) : Intent inlined to public onPerformSync(account Account extras Bundle authority String provider ContentProviderClient syncResult SyncResult) : void in class com.nononsenseapps.notepad.sync.SyncAdapter
6d077cfab07e4ad389630ffafda7e13a7a763248;Pull Up Attribute;Pull Up Attribute	public listdbid : long from class com.nononsenseapps.notepad.sync.googleapi.GoogleTask to class com.nononsenseapps.notepad.database.RemoteTask
6d077cfab07e4ad389630ffafda7e13a7a763248;Move Method;Move Method	private sortByRemoteParent(tasks ArrayList<GoogleTask>) : void from class com.nononsenseapps.notepad.sync.SyncAdapter to private sortByRemoteParent(tasks ArrayList<GoogleTask>) : void from class com.nononsenseapps.notepad.sync.googleapi.GoogleTaskSync
a8e529f690335180c893c9e4d23ed38a5fd3fa68;Rename Class;Rename Class	com.nononsenseapps.notepad.NotePadProvider renamed to com.nononsenseapps.notepad.NotePadProviderSoonDeleted
a8e529f690335180c893c9e4d23ed38a5fd3fa68;Extract Method;Extract Method	public save(context Context updated long) : int extracted from public save(context Context) : int in class com.nononsenseapps.notepad.database.Task
6b10a46ee134350fc869bf501024f15bacc87ec8;Rename Method;Rename Method	private getListPositionOf(listSpinner Spinner listId long) : int renamed to private getSpinnerPositionOf(adapter Adapter entry String) : int in class com.nononsenseapps.notepad.widget.ListWidgetConfig
6b10a46ee134350fc869bf501024f15bacc87ec8;Rename Method;Rename Method	private getPositionOf(values String[] selectedVal String) : int renamed to private getArrayPositionOf(array String[] entry String) : int in class com.nononsenseapps.notepad.widget.ListWidgetConfig
dae720357ba8e846207b86f2de1bd069679e5957;Extract Method;Extract Method	package updateBG(color int) : void extracted from package setupConfig() : void in class com.nononsenseapps.notepad.widget.ListWidgetConfig
23d887f9cac5da172df66805e18974b9c0c31dc9;Move Method;Move Method	private setEntries(listSpinner ListPreference) : void from class com.nononsenseapps.notepad.prefs.MainPrefs to private setEntries(listSpinner ListPreference) : void from class com.nononsenseapps.notepad.prefs.ListPrefs
d69f24211d99e307885fff4ce6d0df156fb07b4e;Rename Method;Rename Method	public getMoveSubTreeUri() : Uri renamed to private getMoveItemLeftUri() : Uri in class com.nononsenseapps.notepad.database.Task
05d3cc9fdc4da6dccf0a73962940f69957b9baea;Rename Method;Rename Method	public onStart() : void renamed to public onActivityCreated(state Bundle) : void in class com.nononsenseapps.notepad.fragments.TaskDetailFragment
f9abdaeecce8266b46aa38b9c990e39f75167328;Extract Method;Extract Method	private getLocalFormatter(context Context lang String format String) : SimpleDateFormat extracted from public getLocalDateString(context Context lang String format String timeInMillis long) : String in class com.nononsenseapps.helpers.TimeFormatter
783c530a9743a730c45e585fd7ffa6311ae04c40;Inline Method;Inline Method	private completeNote(context Context id long) : void inlined to public onReceive(context Context intent Intent) : void in class com.nononsenseapps.notepad.NotePadBroadcastReceiver
783c530a9743a730c45e585fd7ffa6311ae04c40;Extract Method;Extract Method	package posUniqueConstraint(ver String msg String) : String extracted from public getSQLUnIndentItem(parentRight long) : String in class com.nononsenseapps.notepad.database.Task
783c530a9743a730c45e585fd7ffa6311ae04c40;Extract Method;Extract Method	package posUniqueConstraint(ver String msg String) : String extracted from public getSQLIndentItem() : String in class com.nononsenseapps.notepad.database.Task
783c530a9743a730c45e585fd7ffa6311ae04c40;Extract Method;Extract Method	package posUniqueConstraint(ver String msg String) : String extracted from public getSQLMoveSubTree(values ContentValues) : String in class com.nononsenseapps.notepad.database.Task
783c530a9743a730c45e585fd7ffa6311ae04c40;Rename Method;Rename Method	package setListener() : void renamed to package setListeners() : void in class com.nononsenseapps.notepad.fragments.TaskDetailFragment
1b843ccf359547e4b37afdfb97bc46dbbb2aadc2;Extract Method;Extract Method	private assertUriReturnsResult(uri Uri fields String[] where String whereArgs String[]) : void extracted from private assertUriReturnsResult(uri Uri fields String[]) : void in class com.nononsenseapps.notepad.test.DBProviderTest
f6ef1517ba4f6309f86af164b9d90d8cfda71be3;Extract And Move Method;Extract And Move Method	public getInstance(itemId long) : TaskDetailFragment_ extracted from protected loadFragments() : void in class com.nononsenseapps.notepad.ActivityMain & moved to class com.nononsenseapps.notepad.fragments.TaskDetailFragment
bbfbd76abaa9add7aa0de26feebd8605817e47f9;Move Source Folder;Move Source Folder	NoNonsenseNotes/Test to NoNonsenseNotesTest
