CommitId;RefactoringType;RefactoringDetail
28f4ac1de3e368ce925c80a66f7a06fc597407a1;Rename Method;Rename Method	private IABisPurchased(sku String) : boolean renamed to private isPurchased(sku String) : boolean in class eu.faircode.netguard.IAB
28f4ac1de3e368ce925c80a66f7a06fc597407a1;Rename Method;Rename Method	private IABgetBuyIntent(sku String) : PendingIntent renamed to private getBuyIntent(sku String) : PendingIntent in class eu.faircode.netguard.IAB
28f4ac1de3e368ce925c80a66f7a06fc597407a1;Rename Method;Rename Method	public getIABResult(responseCode int) : String renamed to public getResult(responseCode int) : String in class eu.faircode.netguard.IAB
4cfa2cf9cc00786c4019d98c4842618e1acac8e4;Extract Method;Extract Method	public notifyApplication(uid int context Context) : void extracted from public onReceive(context Context intent Intent) : void in class eu.faircode.netguard.Receiver
4091c413f873047d6f6590b06e4b7b2a5ffe3a77;Rename Method;Rename Method	public getNetworkType(networkType int) : String renamed to public getNetworkTypeName(networkType int) : String in class eu.faircode.netguard.Util
51cd4b16866ec873a8455c3d8afc82dded7db38b;Extract And Move Method;Extract And Move Method	public getGeneralInfo(context Context) : String extracted from private updateTechnicalInfo() : void in class eu.faircode.netguard.ActivitySettings & moved to class eu.faircode.netguard.Util
51cd4b16866ec873a8455c3d8afc82dded7db38b;Extract And Move Method;Extract And Move Method	public getNetworkInfo(context Context) : String extracted from private updateTechnicalInfo() : void in class eu.faircode.netguard.ActivitySettings & moved to class eu.faircode.netguard.Util
51cd4b16866ec873a8455c3d8afc82dded7db38b;Extract And Move Method;Extract And Move Method	public getSubscriptionInfo(context Context) : String extracted from private updateTechnicalInfo() : void in class eu.faircode.netguard.ActivitySettings & moved to class eu.faircode.netguard.Util
b0d29c8587016fdcd4e523711d14bd547b32f985;Move Method;Move Method	private getNetworkGeneration(networkType int) : String from class eu.faircode.netguard.ActivitySettings to public getNetworkGeneration(networkType int) : String from class eu.faircode.netguard.Util
d441b29234c1df5abe10fc08a49d226c575a77e3;Extract Method;Extract Method	private refreshScreen() : void extracted from protected onCreate(savedInstanceState Bundle) : void in class eu.faircode.netguard.ActivitySettings
